date,total_pos,total_neg,total_neu,number_pos,number_neg,number_neu,retweet_count
20200120,0.132,0.0,0.868,0,0,1,1
20200121,0.0,0.0,1.0,0,0,1,1
20200122,0.11800000000000001,0.0,0.882,0,0,1,1
20200123,0.278,0.314,34.408,0,0,33,35
20200124,0.583,97.262,308.15500000000003,0,394,404,406
20200125,0.0,0.138,1.862,0,0,2,2
20200126,0.066,0.43700000000000006,4.497,0,0,5,5
20200127,38.70600000000001,94.61899999999997,646.6869999999999,117,232,696,780
20200128,140.16400000000007,187.92300000000003,2874.9150000000022,365,448,2930,3203
20200129,165.87899999999985,257.6540000000001,3923.474,684,1025,4097,4347
20200130,230.18899999999994,239.35599999999985,3658.4590000000044,928,467,3792,4128
20200131,223.10199999999983,376.56899999999985,7141.278999999999,946,1375,7384,7741
20200201,250.2400000000002,279.1500000000002,3814.595000000001,753,903,4111,4344
20200202,185.22,202.77500000000012,2862.4120000000044,902,741,2961,3250
20200203,207.3960000000001,145.69899999999998,2647.9119999999994,723,283,2748,3001
20200204,89.848,209.84800000000004,2944.2829999999976,225,563,3025,3244
20200205,116.08300000000003,472.7070000000004,3143.22,452,1716,3540,3732
20200206,196.6279999999999,351.058,4112.383000000001,1088,1833,4424,4660
20200207,704.3449999999998,1408.2609999999993,7681.4139999999925,4426,6023,9540,9794
20200208,24.257,44.91099999999998,325.80999999999995,96,121,364,395
20200209,0.384,0.488,5.128,0,0,4,6
20200210,74.66199999999999,147.616,1130.7290000000003,147,395,1233,1353
20200211,105.51799999999999,205.0630000000001,1707.3020000000008,392,638,1786,2018
20200212,93.95899999999999,123.15200000000007,1176.9599999999998,240,306,1200,1394
20200213,94.73100000000001,182.39300000000006,1866.8600000000017,258,677,1965,2144
20200214,193.3870000000002,114.05300000000004,1519.5760000000014,579,254,1641,1827
20200215,72.07900000000002,117.14999999999995,2453.7650000000017,226,278,2488,2643
20200216,62.150999999999996,85.32600000000004,984.5230000000004,119,196,1016,1132
20200217,98.59400000000005,137.47500000000002,1817.9209999999996,306,353,1901,2054
20200218,102.923,182.64799999999997,1801.640000000001,398,695,1919,2087
20200219,71.81699999999995,157.57899999999998,1654.6260000000009,194,604,1716,1884
20200220,57.11300000000002,110.01,1157.8719999999996,113,335,1181,1325
20200221,137.99699999999999,134.046,1806.9530000000007,753,522,1907,2079
20200222,97.27700000000002,150.98699999999997,1770.7590000000012,378,461,1868,2019
20200223,59.15099999999997,256.68399999999997,2113.1460000000015,108,1026,2258,2429
20200224,109.67600000000004,345.56499999999977,3336.7980000000007,282,1046,3518,3792
20200225,189.93700000000007,424.16699999999963,4102.047999999998,410,2001,4378,4716
20200226,990.2429999999999,724.3979999999999,6189.156999999994,3645,3773,7558,7904
20200227,2459.183999999999,1242.2090000000003,16160.884000000004,9403,11512,19383,19854
20200228,253.669,752.3089999999999,6469.971,1129,3461,6990,7476
20200229,518.8110000000003,766.7169999999996,6121.499000000003,2403,4088,6944,7407
20200301,161.45799999999994,220.35600000000005,1985.0660000000018,647,682,2124,2367
20200302,1208.4429999999995,1340.058,11283.475999999993,6206,6935,13505,13832
20200303,260.89700000000005,233.79099999999985,3316.2619999999993,1477,620,3484,3811
20200304,209.9299999999998,478.6209999999998,4726.432999999998,601,1387,4930,5415
20200305,651.384,429.8559999999997,8468.394999999982,3534,1596,9012,9550
20200306,478.41300000000007,745.6889999999999,7451.1059999999925,1762,3316,7994,8675
20200307,366.3220000000002,375.38400000000007,5100.287999999997,1543,948,5515,5842
20200308,384.632,490.292,4821.9860000000035,1554,1626,5137,5697
20200309,844.3830000000002,1491.2209999999982,8053.248999999995,5301,5481,9801,10385
20200310,318.5959999999995,388.3869999999998,4601.096000000003,1073,1112,4792,5308
20200311,367.9840000000002,11041.035000000005,69918.94199999995,1358,76029,80772,81328
20200312,765.9459999999999,1208.4999999999995,8558.608999999997,3358,5466,9907,10533
20200313,956.1540000000007,797.1330000000008,12451.621999999994,3364,2412,13187,14205
20200314,1333.6789999999996,767.6279999999999,17821.86600000003,6260,2661,18994,19923
20200315,704.6149999999999,1110.0559999999975,13151.358999999964,2017,5425,14001,14966
20200316,695.8810000000005,790.9830000000017,9283.100999999997,2076,2481,9724,10770
20200317,1655.1370000000022,2299.856999999998,14832.00199999999,9843,9802,17691,18787
20200318,1514.9700000000005,1063.405999999999,18317.522999999997,5451,4532,19796,20896
20200319,1396.0890000000013,1340.9759999999987,15749.282999999989,5590,6087,17357,18486
20200320,1872.881999999998,1227.1429999999996,12338.920999999986,5110,3854,14363,15439
20200321,1021.5949999999983,1387.7920000000017,10878.831,3454,4528,12130,13288
20200322,1579.373999999997,1405.4309999999991,25624.30899999999,8528,6438,27469,28609
20200323,5295.293999999994,1142.4479999999994,37894.06000000005,22293,4476,43176,44332
20200324,1161.6080000000006,1023.4430000000013,19038.169999999987,5140,3824,19998,21223
20200325,2314.206,1684.7859999999998,18635.920000000024,7795,7709,21294,22635
20200326,1025.8139999999999,1265.9620000000011,32443.36300000005,3839,5049,33435,34735
20200327,1041.7379999999985,1104.6259999999995,13517.698000000028,3514,5053,14203,15664
20200328,1033.3219999999992,1663.1000000000004,17731.732,3321,4574,19292,20428
20200329,4864.712000000005,4427.774000000003,26977.262999999944,28573,16160,35184,36270
20200330,923.5239999999999,1193.3690000000015,14453.892000000018,3186,4078,15403,16571
20200331,979.1140000000019,966.7429999999995,11634.162000000013,3478,3245,12455,13580
20200401,1083.5769999999989,1290.2130000000002,12188.870000000003,3638,4429,13376,14563
20200402,856.7810000000017,835.0460000000016,13135.156000000008,2786,2393,13572,14827
20200403,1324.760999999997,1256.0970000000007,15218.799000000015,3865,5193,16594,17800
20200404,764.6740000000015,763.2669999999997,17011.17600000001,2531,2342,17328,18539
20200405,1007.8259999999999,1524.455999999999,14834.557000000006,4516,6021,16173,17367
20200406,945.6009999999985,1132.5709999999988,14032.677999999984,3622,3651,14838,16111
20200407,1270.989000000001,2247.1099999999988,19990.514999999996,5477,12536,22255,23508
20200408,1124.2219999999993,1732.1189999999983,17565.235999999943,4410,6099,19149,20421
20200409,1004.7920000000018,1176.432,12032.146000000013,4314,4047,13082,14212
20200410,1135.5580000000016,1409.1169999999986,13930.144999999984,4121,6111,15258,16475
20200411,984.5510000000011,7316.404999999999,39630.063000000024,3650,37321,46756,47931
20200412,1156.6789999999953,1143.6460000000004,13020.579,4163,4286,14154,15321
20200413,1319.1509999999987,1339.4969999999996,15696.502000000008,6584,6132,17089,18355
20200414,1278.9829999999997,1348.7789999999993,20844.261000000042,5620,5232,22105,23472
20200415,1001.9410000000018,956.5030000000012,12017.699999999966,3587,3125,12702,13976
20200416,1123.7720000000031,1091.9200000000017,14019.394000000013,3684,3206,14869,16235
20200417,996.4880000000016,1416.499999999998,12185.989000000012,2973,5555,13381,14599
20200418,1872.1929999999966,2042.0689999999997,17521.544999999966,9923,8020,20262,21436
20200419,1082.0369999999994,931.7260000000001,14548.289000000044,4499,3234,15336,16562
20200420,1329.9649999999992,1227.3489999999993,20740.84600000006,5572,4661,21976,23298
20200421,1795.1759999999988,1817.344999999999,19275.828000000027,10017,10374,21520,22892
20200422,1409.1870000000029,1194.8520000000008,17151.011000000006,4813,4789,18411,19755
20200423,1239.4720000000007,943.0920000000008,15215.487000000001,4315,2965,16008,17398
20200424,11853.625999999973,1046.673,48400.86500000026,47389,3480,59854,61301
20200425,1765.3960000000009,1856.8489999999993,16552.119999999984,8481,8040,18917,20176
20200426,785.3350000000004,1675.6150000000011,13939.04299999996,2435,6228,15098,16400
20200427,932.5599999999998,1143.1049999999987,12882.326,2506,3665,13628,14958
20200428,1123.5629999999994,1056.7520000000009,13961.54800000001,3903,3286,14787,16142
20200429,1157.2389999999987,1868.0959999999955,21879.725999999933,4491,6877,23494,24905
20200430,1195.2549999999999,1150.8700000000013,14757.602999999981,3900,3711,15717,17103
20200501,1622.331,1603.8939999999977,15832.956000000013,9091,7072,17791,19059
20200502,610.7890000000002,900.6890000000001,13674.611999999996,2031,3813,14274,15186
20200503,1073.3590000000006,1419.8339999999973,16362.821000000027,4391,8672,17624,18856
20200504,1100.7999999999975,1214.9030000000016,13854.146000000015,3756,5035,14803,16170
20200505,988.0640000000009,1361.4020000000003,14724.304999999997,2947,4365,15709,17074
20200506,791.1899999999997,4333.793000000007,23486.31299999999,2975,18937,27623,28611
20200507,1213.8509999999994,1375.4869999999985,9297.753000000004,4865,3252,11090,11887
20200508,660.9920000000003,783.9569999999999,9641.027999999997,2235,3792,10264,11086
20200509,780.0729999999994,678.0510000000019,7601.851999999989,3088,2053,8341,9060
20200510,812.9699999999999,723.0169999999994,15301.018000000011,2698,1728,15800,16837
20200511,952.2020000000007,1223.9920000000006,15037.812,3014,4315,15898,17214
20200512,1225.3410000000013,2089.629999999998,16085.718000000003,8179,7984,18192,19405
20200513,1464.7900000000022,1551.1250000000014,18265.10699999999,7797,7626,20157,21281
20200514,1072.5710000000004,1080.0760000000005,11931.38299999999,3690,4237,12776,14084
20200515,1342.2200000000018,1032.5149999999999,14724.237000000016,5033,3419,15814,17099
20200516,2390.9570000000044,909.449000000001,14792.354999999987,9436,3532,16858,18092
20200517,4095930.474999987,1918163.016000002,32462742.583999746,26671478,10395037,38475760,38476912
20200518,1095.7640000000008,1386.1169999999988,13281.115000000002,4221,5884,14632,15763
20200519,1338.4170000000006,1046.279999999999,15601.161000000038,4974,3494,16680,17987
20200520,966.0759999999996,1221.6350000000018,13763.973000000013,3193,4122,14644,15952
20200521,1400.0679999999998,1602.8869999999986,22398.04300000004,5921,12592,24152,25401
20200522,1203.3510000000008,891.8360000000022,15400.158000000003,5436,2524,16281,17495
20200523,4051.6159999999995,1195.5760000000005,21677.823000000048,15926,5402,25750,26925
20200524,1098.6209999999994,1618.5900000000004,18394.914000000004,4957,6969,20061,21112
20200525,1249.9929999999981,1208.3199999999993,11715.292999999983,5929,4293,13054,14172
20200526,830.8910000000009,993.6939999999984,11624.562999999998,2381,4247,12262,13449
20200527,2444.846000000003,1073.751000000001,21530.37700000002,12498,3659,23883,25049
20200528,879.2090000000004,3279.171999999998,18010.68899999999,2880,11976,21012,22169
20200529,695.4829999999989,1723.3339999999996,19035.88600000001,2077,9089,20294,21455
20200530,1009.3519999999994,785.8950000000013,8867.683999999992,4180,2724,9718,10663
20200531,656.9239999999996,882.3639999999994,27406.38800000003,2538,2872,28008,28946
20200601,700.1770000000007,770.699000000001,9268.111999999988,2262,2465,9844,10739
20200602,1027.4819999999997,1139.0370000000012,11025.706,3864,4007,12233,13192
20200603,1633.942999999999,1524.4109999999987,18882.14400000001,8256,5662,21062,22041
20200604,710.7910000000004,854.2330000000005,9600.925999999989,2494,2530,10172,11166
20200605,780.6580000000007,1006.5880000000008,14500.526999999951,2612,2935,15368,16288
20200606,630.7319999999987,634.2680000000004,7476.985999999983,2391,2069,7900,8742
20200607,524.8910000000006,635.4679999999997,6716.754999999993,1647,2368,7103,7877
20200608,1033.6600000000012,892.2380000000011,11523.403999999982,5024,3923,12551,13449
20200609,739.0789999999997,681.2200000000006,7468.244999999975,2733,2223,8047,8888
20200610,692.8049999999998,1644.9379999999994,15975.408000000025,2149,10112,17393,18313
20200611,1219.8079999999973,1564.1839999999959,15509.765000000005,5855,8451,17236,18297
20200612,2036.2260000000003,624.0659999999997,25315.539000000026,14893,1976,27039,27976
20200613,502.7009999999996,723.1360000000001,7523.120999999994,1533,2947,7993,8749
20200614,11406.359999999993,407.00900000000064,19958.66400000001,25698,1220,31101,31772
20200615,732.4660000000014,1753.1779999999992,15019.470000000023,2526,9574,16585,17505
20200616,871.1220000000008,1569.4659999999972,12804.47599999998,3131,6148,14195,15245
20200617,1454.2660000000008,3282.126999999989,18374.565,5781,13762,22030,23111
20200618,1076.1449999999995,1126.801000000002,12834.948000000004,4230,4362,13997,15038
20200619,744.3460000000008,722.1720000000021,8028.604999999987,2478,2079,8503,9495
20200620,645.4849999999992,525.164,7700.280999999984,2202,1453,7990,8871
20200621,0.377,0.081,4.542,0,0,4,5
